Date,Open,High,Low,Close,Volume,MA_30,Daily_Return
2015-03-27,248.57,256.81,245.21,247.03,17274900,269.919,-0.006035488673399536
2015-03-28,246.98,254.21,246.98,252.8,16040900,270.46466666666663,0.02335748694490558
2015-03-29,252.74,253.14,240.85,242.71,21699400,270.094,-0.03991297468354427
2015-03-30,242.88,249.24,239.21,247.53,23009600,269.86966666666666,0.019859091096370074
2015-03-31,247.45,248.73,242.74,244.22,22672000,269.337,-0.013372116511130017
2015-04-01,244.22,247.54,241.16,247.27,22877200,268.39033333333333,0.012488739660961423
2015-04-02,247.09,254.46,245.42,253.01,26272600,267.43399999999997,0.02321349132527195
2015-04-03,253.07,256.04,251.88,254.32,23146600,266.80833333333334,0.0051776609620173275
2015-04-04,254.29,255.26,251.10,253.7,12493500,266.05899999999997,-0.0024378735451400235
2015-04-05,253.76,260.67,251.94,260.6,19649200,265.65500000000003,0.02719747733543576
2015-04-06,260.72,261.80,254.57,255.49,20034200,264.9626666666667,-0.01960859554873373
2015-04-07,255.27,255.80,252.21,253.18,18467400,264.257,-0.009041449763200093
2015-04-08,253.06,253.85,244.21,245.02,30086400,262.77066666666667,-0.032230033967927896
2015-04-09,244.75,246.12,239.40,243.68,21643500,261.168,-0.0054689413109133556
2015-04-10,243.69,243.69,232.77,236.07,28882000,259.15766666666667,-0.031229481286933702
2015-04-11,236.02,239.54,234.18,236.55,16365200,257.231,0.002033295209048269
2015-04-12,236.54,237.73,233.49,236.15,12387900,255.59133333333332,-0.001690974424011893
2015-04-13,235.95,236.93,222.00,224.59,31181800,253.68133333333333,-0.04895193732796954
2015-04-14,224.76,224.98,216.32,219.16,31719000,251.44033333333334,-0.024177389910503666
2015-04-15,219.07,223.83,218.65,223.83,22562000,249.215,0.02130863296221941
2015-04-16,223.92,229.67,223.92,228.57,24805400,247.317,0.021176785953625377
2015-04-17,228.57,228.91,221.94,222.88,20429800,246.203,-0.02489390558690996
2015-04-18,222.85,224.32,220.88,223.36,12939000,244.95066666666668,0.002153625269203152
2015-04-19,223.46,226.35,222.37,222.6,15021500,243.6456666666667,-0.003402578796561695
2015-04-20,222.61,226.35,221.98,224.63,18364700,242.46599999999998,0.009119496855345854
2015-04-21,224.62,235.27,224.30,235.27,24978000,241.37633333333332,0.04736678092863822
2015-04-22,235.60,237.91,233.48,234.18,23847900,240.29100000000003,-0.0046329748799252
2015-04-23,234.05,236.48,233.20,236.46,17036000,239.98633333333333,0.0097361004355625
2015-04-24,235.97,236.30,229.93,231.27,21448700,239.48866666666666,-0.021948743973610796
2015-04-25,231.24,232.56,226.34,226.39,13957200,238.7506666666667,-0.021100877761923376
2015-04-26,226.41,226.94,214.87,219.43,28943700,237.83066666666667,-0.030743407394319466
2015-04-27,219.43,233.30,218.02,229.29,38574000,237.047,0.044934603290343045
2015-04-28,228.97,229.49,223.07,225.85,21469200,236.485,-0.015002834837978152
2015-04-29,225.59,227.04,223.43,225.81,18936500,235.76100000000002,-0.00017710870046483418
2015-04-30,225.69,239.56,224.99,236.15,33818600,235.49200000000002,0.04579070900314419
2015-05-01,235.94,238.97,232.08,232.08,18815300,234.98566666666665,-0.01723480838450131
